time:0, state_pair:((8, 35), (8, 35)), current_state:(8, 35), n:8, dest:35, env.nlinks[n]:3, action:2
time:0, state_pair:((14, 35), (14, 35)), next_state:(14, 35), n:8, dest:35, env.nlinks[n]:3, action:2
time:1, state_pair:((14, 35), (14, 35)), current_state:(14, 35), n:14, dest:35, env.nlinks[n]:3, action:2
time:1, state_pair:((20, 35), (14, 34)), next_state:(20, 35), n:14, dest:35, env.nlinks[n]:3, action:2
time:2, state_pair:((20, 35), (14, 34)), current_state:(14, 34), n:14, dest:34, env.nlinks[n]:3, action:2
time:2, state_pair:((20, 34), (20, 34)), next_state:(20, 34), n:14, dest:34, env.nlinks[n]:3, action:2
time:3, state_pair:((20, 34), (20, 34)), current_state:(20, 34), n:20, dest:34, env.nlinks[n]:4, action:2
time:3, state_pair:((21, 34), (25, 14)), next_state:(21, 34), n:20, dest:34, env.nlinks[n]:4, action:2
time:4, state_pair:((21, 34), (25, 14)), current_state:(25, 14), n:25, dest:14, env.nlinks[n]:2, action:0
time:4, state_pair:((19, 14), (20, 35)), next_state:(19, 14), n:25, dest:14, env.nlinks[n]:2, action:0
time:5, state_pair:((19, 14), (20, 35)), current_state:(20, 35), n:20, dest:35, env.nlinks[n]:4, action:2
time:5, state_pair:((21, 35), (19, 14)), next_state:(21, 35), n:20, dest:35, env.nlinks[n]:4, action:2
time:6, state_pair:((21, 35), (19, 14)), current_state:(19, 14), n:19, dest:14, env.nlinks[n]:4, action:1
time:6, state_pair:((13, 14), (24, 33)), next_state:(13, 14), n:19, dest:14, env.nlinks[n]:4, action:1
time:7, state_pair:((13, 14), (24, 33)), current_state:(24, 33), n:24, dest:33, env.nlinks[n]:2, action:1
time:7, state_pair:((30, 33), (21, 35)), next_state:(30, 33), n:24, dest:33, env.nlinks[n]:2, action:1
time:8, state_pair:((30, 33), (21, 35)), current_state:(21, 35), n:21, dest:35, env.nlinks[n]:4, action:2
time:8, state_pair:((22, 35), (13, 14)), next_state:(22, 35), n:21, dest:35, env.nlinks[n]:4, action:2
time:9, state_pair:((22, 35), (13, 14)), current_state:(13, 14), n:13, dest:14, env.nlinks[n]:4, action:2
time:9, state_pair:((13, 14), (21, 34)), next_state:(13, 14), n:13, dest:14, env.nlinks[n]:4, action:2
time:10, state_pair:((13, 14), (21, 34)), current_state:(21, 34), n:21, dest:34, env.nlinks[n]:4, action:2
time:10, state_pair:((22, 34), (22, 34)), next_state:(22, 34), n:21, dest:34, env.nlinks[n]:4, action:2
time:11, state_pair:((22, 34), (22, 34)), current_state:(22, 34), n:22, dest:34, env.nlinks[n]:4, action:2
time:11, state_pair:((23, 34), (30, 33)), next_state:(23, 34), n:22, dest:34, env.nlinks[n]:4, action:2
time:12, state_pair:((23, 34), (30, 33)), current_state:(30, 33), n:30, dest:33, env.nlinks[n]:2, action:1
time:12, state_pair:((31, 33), (21, 11)), next_state:(31, 33), n:30, dest:33, env.nlinks[n]:2, action:1
time:13, state_pair:((31, 33), (21, 11)), current_state:(21, 11), n:21, dest:11, env.nlinks[n]:4, action:1
