q learning with callmean:0 time:0, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:1, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:2, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:3, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:4, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:5, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:6, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:7, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:8, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:9, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:10, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:11, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:12, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:13, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:14, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:15, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:16, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:17, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:18, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:19, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:20, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
q learning with callmean:0 time:21, average delivery time:0.0, length of average route:0.0, r_sum_best:0, Packet routed 0.0
